Ligand,stage1,stage2,stage3
fda_0188.pdbqt,-6.60 (invalid),,
fda_0189.pdbqt,-6.50 (invalid),,
fda_0190.pdbqt,-5.91,,
fda_0191.pdbqt,-5.81 (invalid),,
fda_0192.pdbqt,-5.67,,
fda_0193.pdbqt,-5.91,,
fda_0194.pdbqt,-6.50,,
fda_0195.pdbqt,-6.77 (invalid),,
fda_0196.pdbqt,-5.89,,
fda_0197.pdbqt,0.40,,
fda_0198.pdbqt,-3.87 (invalid),,
fda_0199.pdbqt,-2.90 (invalid),,
fda_0200.pdbqt,-5.60,,
fda_0201.pdbqt,-5.96,,
fda_0202.pdbqt,-3.40,,
fda_0203.pdbqt,-0.80 (invalid),,
fda_0204.pdbqt,-6.00,,
fda_0205.pdbqt,-6.77 (invalid),,
fda_0206.pdbqt,-6.33 (invalid),,
fda_0207.pdbqt,-6.43,,
fda_0208.pdbqt,2.02,,
fda_0209.pdbqt,-4.04 (invalid),,
fda_0210.pdbqt,-3.77 (invalid),,
fda_0211.pdbqt,-5.63 (invalid),,
fda_0212.pdbqt,-3.91 (invalid),,
fda_0213.pdbqt,-2.37 (invalid),,
fda_0214.pdbqt,-3.00 (invalid),,
fda_0215.pdbqt,-3.38 (invalid),,
fda_0216.pdbqt,-3.82 (invalid),,
fda_0217.pdbqt,-0.32 (invalid),,
fda_0218.pdbqt,-2.05,,
fda_0219.pdbqt,-0.95 (invalid),,
fda_0220.pdbqt,-1.18 (invalid),,
fda_0221.pdbqt,-1.93 (invalid),,
fda_0222.pdbqt,-3.40,,
fda_0223.pdbqt,-0.03 (invalid),,
fda_0224.pdbqt,-0.11 (invalid),,
fda_0225.pdbqt,-3.90 (invalid),,
fda_0226.pdbqt,-4.24,,
fda_0227.pdbqt,-5.80,,
fda_0228.pdbqt,-4.79,,
fda_0229.pdbqt,-4.24,,
fda_0230.pdbqt,-0.16,,
fda_0231.pdbqt,-3.84,,
fda_0232.pdbqt,-5.87,,
fda_0233.pdbqt,-4.84,,
fda_0234.pdbqt,-3.58 (invalid),,
fda_0235.pdbqt,-4.48,,
fda_0236.pdbqt,-5.57 (invalid),,
fda_0237.pdbqt,-7.04 (invalid),,
fda_0238.pdbqt,-7.01,,
fda_0239.pdbqt,-6.17,,
fda_0240.pdbqt,-4.92,,
fda_0241.pdbqt,-5.59,,
fda_0242.pdbqt,23.72 (invalid),,
fda_0243.pdbqt,17.18,,
fda_0244.pdbqt,13.51 (invalid),,
fda_0245.pdbqt,19.93 (invalid),,
fda_0246.pdbqt,-4.00,,
fda_0247.pdbqt,-4.12,,
fda_0248.pdbqt,-5.24,,
fda_0249.pdbqt,-4.98,,
fda_0250.pdbqt,-4.00,,
fda_0251.pdbqt,-6.38,,
fda_0252.pdbqt,-6.29,,
fda_0253.pdbqt,-3.72,,
fda_0254.pdbqt,-3.71 (invalid),,
fda_0255.pdbqt,-3.06,,
fda_0256.pdbqt,-1.27,,
fda_0257.pdbqt,-6.05,,
fda_0258.pdbqt,-4.46,,
fda_0259.pdbqt,-5.20,,
fda_0260.pdbqt,-5.68 (invalid),,
fda_0261.pdbqt,-6.65,,
fda_0262.pdbqt,-3.59,,
fda_0263.pdbqt,-2.59,,
fda_0264.pdbqt,3.82 (invalid),,
fda_0265.pdbqt,-5.08 (invalid),,
fda_0266.pdbqt,-4.71 (invalid),,
fda_0267.pdbqt,-3.10 (invalid),,
fda_0268.pdbqt,-3.44 (invalid),,
fda_0269.pdbqt,-1.30 (invalid),,
fda_0270.pdbqt,-2.17 (invalid),,
fda_0271.pdbqt,-2.81,,
fda_0272.pdbqt,-3.35,,
fda_0273.pdbqt,-3.76 (invalid),,
fda_0274.pdbqt,-3.94 (invalid),,
fda_0275.pdbqt,-5.98,,
fda_0276.pdbqt,-5.74,,
