severity,file_num,rdk_id,display_name,reason_codes,pubchem_record_title,rxnorm_generic_name,drugcentral_generic_name,sdf_title,inchikey,path
review,3431,rdk_0003431,artesunate,raw_quality_iupac_like,"Cholan-24-oic acid, 3,12-dihydroxy-, sodium salt (1:1), (3alpha,5beta,12alpha)-",artesunate,,fda_6612,FHHPUSMSKHSNKW-AOXDKUDUSA-M,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003431.pdbqt
review,3432,rdk_0003432,LS-15441,raw_quality_iupac_like,"beta-D-Galactopyranoside, (3beta,4alpha,16beta)-13,28-epoxy-16,23-dihydroxyolean-11-en-3-yl 6-deoxy-3-O-beta-D-glucopyranosyl-",,,fda_6613,KYWSCMDFVARMPN-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003432.pdbqt
review,3433,rdk_0003433,breviscapin,brand_display_with_clean_pubchem_title,Scutellarin,,,fda_6614,DJSISFGPUUYILV-ZFORQUDYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003433.pdbqt
review,3435,rdk_0003435,omacetaxine mepesuccinate,raw_quality_cas_only;raw_quality_ndc_like,26833-87-4,,,fda_6616,HYFHYPWGAURHIV-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003435.pdbqt
review,3437,rdk_0003437,eraloc,brand_display_with_clean_pubchem_title,rabeprazole,rabeprazole,,fda_6618,YREYEVIYCVEVJK-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003437.pdbqt
review,3438,rdk_0003438,diaryl,brand_display_with_clean_pubchem_title,Nifuroxazide,nifuroxazide,,fda_6619,YCWSUKQGVSGXJO-NTUHNPAUSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003438.pdbqt
review,3439,rdk_0003439,casticine,brand_display_with_clean_pubchem_title,Casticin,permethrin,,fda_6620,PJQLSMYMOKWUJG-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003439.pdbqt
review,3440,rdk_0003440,saikosaponin?a,brand_display_with_clean_pubchem_title,Saikosaponin A,,,fda_6621,KYWSCMDFVARMPN-MSSMMRRTSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003440.pdbqt
review,3441,rdk_0003441,robamol,brand_display_with_clean_pubchem_title,methocarbamol,methocarbamol,,fda_6622,GNXFOGHNGIVQEH-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003441.pdbqt
review,3442,rdk_0003442,azopt,brand_display_with_clean_pubchem_title,Brinzolamide,brinzolamide,,fda_6623,HCRKCZRJWPKOAR-JTQLQIEISA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003442.pdbqt
review,3443,rdk_0003443,nakva,brand_display_with_clean_pubchem_title,trichlormethiazide,trichlormethiazide,,fda_6624,LMJSLTNSBFUCMU-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003443.pdbqt
review,3444,rdk_0003444,duretic,brand_display_with_clean_pubchem_title,methyclothiazide,,,fda_6625,CESYKOGBSMNBPD-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003444.pdbqt
review,3445,rdk_0003445,wln: zswr,brand_display_with_clean_pubchem_title,benzene sulfonamide,benzenesulfonate,,fda_6626,KHBQMWCZKVMBLN-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003445.pdbqt
