gene,pdb_id,mode,method,install_status,nontrivial_comp_ids,installed_file_exists
TACR1,6J20,holo_strict,X-RAY DIFFRACTION,holo_downloaded,GBQ,yes
TACR2,7XWO,apo_fallback,ELECTRON MICROSCOPY,apo_downloaded,,no
TBXA2R,6IIU,holo_strict,X-RAY DIFFRACTION,holo_downloaded,A8X;CLR;OLC,yes
ABCB11,,missing,,not_selected,,no
ADORA2A,,missing,,not_selected,,no
ADRA2C,,missing,,not_selected,,no
MAOA,,missing,,not_selected,,no
MLNR,,missing,,not_selected,,no
PDE6A,,missing,,not_selected,,no
PTGS1,,missing,,not_selected,,no
SLC29A1,,missing,,not_selected,,no
