assay group ID,preferred assay ID,assay name,EntrezGeneID,EntrezGeneSymbol,HumanEntrezGeneSymbol(representative),Protein/Target/Name,Protein/Target/ProteinClass
13315,13315,NR3C1 antagonist,2908,NR3C1,NR3C1,Glucocorticoid receptor,Nuclear Hormone Receptor
3218,3218,NR3C1 Binding,2908,NR3C1,NR3C1,Glucocorticoid receptor,Nuclear Hormone Receptor
3276,3276,NTSR1 Binding,4923,NTSR1,NTSR1,Neurotensin receptor type 1,GPCR
3181,3181,OPRD1 Binding,4985,OPRD1,OPRD1,Delta-type opioid receptor,GPCR
3124,3124,OPRK1 Binding,4986,OPRK1,OPRK1,Kappa-type opioid receptor,GPCR
3162,3162,OPRM1 agonist,4988,OPRM1,OPRM1,Mu-type opioid receptor,GPCR
"3185, 41522",41522,OPRM1 Binding (agonist),4988,OPRM1,OPRM1,Mu-type opioid receptor,GPCR
"3277, 41635",41635,PDE3A inhibition,5139,PDE3A,PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Enzyme
41636,41636,PDE4A inhibition,5141,PDE4A,PDE4A,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",Enzyme
3261,3261,PDE4D inhibition,5144,PDE4D,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Enzyme
13173,13173,PDE6A inhibition,5145,PDE6A,PDE6A,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",Enzyme
5437,5437,PGR agonist,5241,PGR,PGR,Progesterone receptor,Nuclear Hormone Receptor
5436,5436,PGR antagonist,5241,PGR,PGR,Progesterone receptor,Nuclear Hormone Receptor
3279,3279,PGR Binding,5241,PGR,PGR,Progesterone receptor,Nuclear Hormone Receptor
41630,41630,PGR Binding (agonist),5241,PGR,PGR,Progesterone receptor,Nuclear Hormone Receptor
41572,41572,PPARA agonist,5465,PPARA,PPARA,Peroxisome proliferator-activated receptor alpha,Nuclear Hormone Receptor
41571,41571,PPARA antagonist,5465,PPARA,PPARA,Peroxisome proliferator-activated receptor alpha,Nuclear Hormone Receptor
10943,10943,PPARG agonist,5468,PPARG,PPARG,Peroxisome proliferator-activated receptor gamma,Nuclear Hormone Receptor
10942,10942,PPARG antagonist,5468,PPARG,PPARG,Peroxisome proliferator-activated receptor gamma,Nuclear Hormone Receptor
"3216, 4076",4076,Ptgs1 (rat) inhibition,24693,Ptgs1,PTGS1,Prostaglandin G/H synthase 1,Enzyme
41632,41632,PTGS1 inhibition,5742,PTGS1,PTGS1,Prostaglandin G/H synthase 1,Enzyme
3198,3198,PTGS2 inhibition (NIBR assay),5743,PTGS2,PTGS2,Prostaglandin G/H synthase 2,Enzyme
41633,41633,PTGS2 inhibition (CRO assay),5743,PTGS2,PTGS2,Prostaglandin G/H synthase 2,Enzyme
42759,42759,RARA agonist,5914,RARA,RARA,Retinoic acid receptor alpha,Nuclear Hormone Receptor
42761,42761,RARA antagonist,5914,RARA,RARA,Retinoic acid receptor alpha,Nuclear Hormone Receptor
42762,42762,RARB agonist,5915,RARB,RARB,Retinoic acid receptor beta,Nuclear Hormone Receptor
42764,42764,RARB antagonist,5915,RARB,RARB,Retinoic acid receptor beta,Nuclear Hormone Receptor
42765,42765,RARG agonist,5916,RARG,RARG,Retinoic acid receptor gamma,Nuclear Hormone Receptor
42767,42767,RARG antagonist,5916,RARG,RARG,Retinoic acid receptor gamma,Nuclear Hormone Receptor
3187,3187,SCN5A inhibition,6331,SCN5A,SCN5A,Sodium channel protein type 5 subunit alpha,Ion Channel
37286,37286,Slc18a2 (rat) inhibition,25549,Slc18a2,SLC18A2,Synaptic vesicular amine transporter,Transporter
3158,3158,SLC29A1 Binding,2030,SLC29A1,SLC29A1,Equilibrative nucleoside transporter 1,Transporter
"3161, 41626",41626,SLC6A2 Binding,6530,SLC6A2,SLC6A2,Sodium-dependent noradrenaline transporter,Transporter
"3088, 41625",41625,SLC6A3 Binding,6531,SLC6A3,SLC6A3,Sodium-dependent dopamine transporter,Transporter
"3176, 31504, 41627",41627,SLC6A4 Binding,6532,SLC6A4,SLC6A4,Sodium-dependent serotonin transporter,Transporter
3122,3122,TACR1 Binding,6869,TACR1,TACR1,Substance-P receptor,GPCR
3123,3123,TACR2 Binding,6865,TACR2,TACR2,Substance-K receptor,GPCR
37926,37926,TBXA2R agonist (NIBR assay),6915,TBXA2R,TBXA2R,Thromboxane A2 receptor,GPCR
41745,41745,TBXA2R agonist (CRO assay),6915,TBXA2R,TBXA2R,Thromboxane A2 receptor,GPCR
"37928, 41747",41747,TBXA2R antagonist,6915,TBXA2R,TBXA2R,Thromboxane A2 receptor,GPCR
3182,3182,TBXA2R Binding,6915,TBXA2R,TBXA2R,Thromboxane A2 receptor,GPCR
