Ligand,stage1,stage2,stage3
fda_0151.pdbqt,-7.51,,
fda_0152.pdbqt,-7.43,,
fda_0153.pdbqt,-6.35,,
fda_0154.pdbqt,-6.25,,
fda_0155.pdbqt,-6.59,,
fda_0156.pdbqt,-6.00,,
fda_0157.pdbqt,-5.97,,
fda_0158.pdbqt,-5.83,,
fda_0159.pdbqt,-8.51,,
fda_0160.pdbqt,-6.26,,
fda_0161.pdbqt,-6.15,,
fda_0162.pdbqt,-7.46,,
fda_0163.pdbqt,-6.73,,
fda_0164.pdbqt,-7.13,,
fda_0165.pdbqt,-6.79,,
fda_0166.pdbqt,-6.84,,
fda_0167.pdbqt,-6.14,,
fda_0168.pdbqt,-5.74,,
fda_0169.pdbqt,-7.42,,
fda_0170.pdbqt,-7.15,,
fda_0171.pdbqt,-7.16,,
fda_0172.pdbqt,-7.42,,
fda_0173.pdbqt,-7.39,,
fda_0174.pdbqt,-7.27,,
fda_0175.pdbqt,-4.82,,
fda_0176.pdbqt,-4.96,,
fda_0177.pdbqt,-5.88,,
fda_0178.pdbqt,-5.88,,
fda_0179.pdbqt,-5.29,,
fda_0180.pdbqt,-5.54,,
fda_0181.pdbqt,-5.96,,
fda_0182.pdbqt,-5.87,,
fda_0183.pdbqt,-5.67 (invalid),,
fda_0184.pdbqt,-6.03 (invalid),,
fda_0185.pdbqt,-6.94,,
fda_0186.pdbqt,-8.65,-8.65,
fda_0187.pdbqt,-5.70,,
fda_0188.pdbqt,-5.62,,
fda_0189.pdbqt,-5.70,,
fda_0190.pdbqt,-7.13,,
fda_0191.pdbqt,-5.93,,
fda_0192.pdbqt,-5.97,,
fda_0193.pdbqt,-6.17,,
fda_0194.pdbqt,-6.46,,
fda_0195.pdbqt,-5.99 (invalid),,
fda_0196.pdbqt,-8.40,,
fda_0197.pdbqt,-7.68,,
fda_0198.pdbqt,-7.65,,
fda_0199.pdbqt,-7.92,,
fda_0200.pdbqt,-6.79,,
fda_0201.pdbqt,-7.10,,
fda_0202.pdbqt,-6.95,,
fda_0203.pdbqt,-7.18,,
fda_0204.pdbqt,-7.04,,
fda_0205.pdbqt,-6.24 (invalid),,
fda_0206.pdbqt,-6.40 (invalid),,
fda_0207.pdbqt,-6.90,,
fda_0208.pdbqt,-6.38,,
fda_0209.pdbqt,-6.89,,
fda_0210.pdbqt,-7.08,,
fda_0211.pdbqt,-7.58,,
fda_0212.pdbqt,-7.24,,
fda_0213.pdbqt,-7.52,,
fda_0214.pdbqt,-7.48,,
fda_0215.pdbqt,-7.55,,
fda_0216.pdbqt,-7.56,,
fda_0217.pdbqt,-6.98,,
fda_0218.pdbqt,-6.56,,
fda_0219.pdbqt,-7.33,,
fda_0220.pdbqt,-7.70,,
fda_0221.pdbqt,-7.97,,
fda_0222.pdbqt,-8.22,,
fda_0223.pdbqt,-8.15,,
fda_0224.pdbqt,-8.16,,
fda_0225.pdbqt,-7.98 (invalid),,
fda_0226.pdbqt,-8.21,,
fda_0227.pdbqt,-7.82,,
fda_0228.pdbqt,-8.23,,
fda_0229.pdbqt,-8.38,,
fda_0230.pdbqt,-7.89,,
fda_0231.pdbqt,-8.37,,
fda_0232.pdbqt,-7.91,,
fda_0233.pdbqt,-8.08,,
fda_0234.pdbqt,-7.78,,
fda_0235.pdbqt,-7.31,,
fda_0236.pdbqt,-7.86,,
fda_0237.pdbqt,-7.30,,
fda_0238.pdbqt,-6.96,,
fda_0239.pdbqt,-7.23,,
fda_0240.pdbqt,-6.93,,
fda_0241.pdbqt,-6.33,,
fda_0242.pdbqt,-7.42,,
fda_0243.pdbqt,-7.08,,
fda_0244.pdbqt,-7.35,,
fda_0245.pdbqt,-8.05,,
fda_0246.pdbqt,-7.04,,
fda_0247.pdbqt,-7.10,,
fda_0248.pdbqt,-7.83,,
fda_0249.pdbqt,-7.60,,
fda_0250.pdbqt,-6.95,,
fda_0251.pdbqt,-6.28,,
fda_0252.pdbqt,-6.39,,
fda_0253.pdbqt,-7.00,,
fda_0254.pdbqt,-6.88,,
fda_0255.pdbqt,-8.02,,
fda_0256.pdbqt,-6.75,,
fda_0257.pdbqt,-5.14,,
fda_0258.pdbqt,-8.06,,
fda_0259.pdbqt,-7.09,,
fda_0260.pdbqt,-5.38,,
fda_0261.pdbqt,-7.09,,
fda_0262.pdbqt,-7.49,,
fda_0263.pdbqt,-7.59,,
fda_0264.pdbqt,-8.13,,
fda_0265.pdbqt,-7.84,,
fda_0266.pdbqt,-7.57,,
fda_0267.pdbqt,-7.26,,
fda_0268.pdbqt,-7.79,,
fda_0269.pdbqt,-7.77,,
fda_0270.pdbqt,-8.08,,
fda_0271.pdbqt,-7.63,,
fda_0272.pdbqt,-7.91,,
fda_0273.pdbqt,-7.47,,
fda_0274.pdbqt,-8.43,,
fda_0275.pdbqt,-7.48,,
fda_0276.pdbqt,-7.84,,
fda_0277.pdbqt,-8.62,-8.58,
fda_0278.pdbqt,-8.62,-8.61,
fda_0279.pdbqt,-8.94,-8.97,
fda_0280.pdbqt,-7.92,,
fda_0281.pdbqt,-8.37,,
fda_0282.pdbqt,-8.41,,
fda_0283.pdbqt,-8.42,,
fda_0284.pdbqt,-9.36,-9.34,
fda_0285.pdbqt,-5.77,,
fda_0286.pdbqt,-5.96,,
fda_0287.pdbqt,-6.48 (invalid),,
fda_0288.pdbqt,-6.82 (invalid),,
fda_0289.pdbqt,-9.01,-9.02 (invalid),
fda_0290.pdbqt,-8.93,-8.94 (invalid),
fda_0291.pdbqt,-9.22,-9.07 (invalid),
fda_0292.pdbqt,-9.16 (invalid),,
fda_0293.pdbqt,-7.44 (invalid),,
fda_0294.pdbqt,-6.90,,
fda_0295.pdbqt,-6.98 (invalid),,
fda_0296.pdbqt,-7.02,,
fda_0297.pdbqt,-6.95,,
fda_0298.pdbqt,-8.42,,
fda_0299.pdbqt,-7.25,,
fda_0300.pdbqt,-8.10 (invalid),,
fda_0301.pdbqt,-7.26,,
fda_0302.pdbqt,-7.21,,
fda_0303.pdbqt,-6.81,,
fda_0304.pdbqt,-7.33,,
fda_0305.pdbqt,-7.95,,
fda_0306.pdbqt,-8.05,,
fda_0307.pdbqt,-8.04,,
fda_0308.pdbqt,-7.61 (invalid),,
fda_0309.pdbqt,-7.72,,
fda_0310.pdbqt,-7.12,,
fda_0311.pdbqt,-7.65,,
fda_0312.pdbqt,-7.70,,
fda_0313.pdbqt,-8.00,,
fda_0314.pdbqt,-5.92,,
fda_0315.pdbqt,-6.79,,
