Ligand ID,Protein PDB ID,Best Score
fda_0370,1M17,-7.03
fda_0370,10GS,-6.0
fda_0371,10GS,-6.71
fda_0373,10GS,-6.89
fda_0398,1M17,-5.91
fda_0398,10GS,-5.35
fda_0399,10GS,-5.79
fda_0400,1M17,-5.45
fda_0400,10GS,-5.31
fda_0401,10GS,-5.35
fda_0402,10GS,-6.18
fda_0403,10GS,-6.12
fda_0404,10GS,-6.16
fda_0405,10GS,-6.25
fda_0406,10GS,-6.71
fda_0407,1M17,-4.77
fda_0407,10GS,-4.75
fda_0408,1M17,-4.75
fda_0408,10GS,-4.64
fda_0409,10GS,-4.93
fda_0409,1M17,-4.79
fda_0410,1M17,-8.36
fda_0410,10GS,-7.91
fda_0411,10GS,-7.65
fda_0412,1M17,-8.23
fda_0412,10GS,-8.22
fda_0413,1M17,-8.11
fda_0413,10GS,-7.81
fda_0414,1M17,-7.99
fda_0414,10GS,-7.94
fda_0415,10GS,-7.86
fda_0416,1M17,-8.0
fda_0416,10GS,-7.72
fda_0417,1M17,-7.89
fda_0417,10GS,-7.42
fda_0418,10GS,-6.29
fda_0419,10GS,-6.25
fda_0421,10GS,-6.51
fda_0421,1M17,-6.12
fda_0423,10GS,-6.77
fda_0425,10GS,-8.44
fda_0426,10GS,-8.45
fda_0432,1M17,-8.1
fda_0434,10GS,-7.7
fda_0436,10GS,-7.51
fda_0436,1M17,-7.13
fda_0442,1M17,-7.7
fda_0442,10GS,-6.98
fda_0443,1M17,-7.15
fda_0443,10GS,-6.99
fda_0445,1M17,-7.44
fda_0445,10GS,-7.29
fda_0446,10GS,-6.33
fda_0449,10GS,-6.6
fda_0450,10GS,-6.14
fda_0451,10GS,-7.74
fda_0452,10GS,-7.66
fda_0453,10GS,-7.65
fda_0454,10GS,-7.73
fda_0455,10GS,-6.98
fda_0455,1M17,-6.62
fda_0459,10GS,-8.67
fda_0459,1M17,-7.82
fda_0460,1M17,-7.86
fda_0460,10GS,-7.76
fda_0461,10GS,-6.91
fda_0461,1M17,-6.87
fda_0462,10GS,-7.72
fda_0463,10GS,-8.28
fda_0464,10GS,-8.36
fda_0465,10GS,-7.32
fda_0466,10GS,-7.53
fda_0467,1M17,-8.22
fda_0467,10GS,-7.64
fda_0468,1M17,-7.81
fda_0468,10GS,-7.46
fda_0469,1M17,-8.01
fda_0469,10GS,-7.55
fda_0476,10GS,-7.14
fda_0477,10GS,-7.13
fda_0477,1M17,-6.97
fda_0478,10GS,-7.04
fda_0478,1M17,-6.67
fda_0479,1M17,-6.36
fda_0479,10GS,-5.86
fda_0480,1M17,-4.88
fda_0480,10GS,-4.27
fda_0481,10GS,-4.26
fda_0482,10GS,-8.25
fda_0483,10GS,-7.98
fda_0484,1M17,-8.67
fda_0484,10GS,-8.65
fda_0485,1M17,-8.65
fda_0485,10GS,-8.39
fda_0486,10GS,-8.11
fda_0487,1M17,-9.07
fda_0487,10GS,-8.41
fda_0488,1M17,-8.66
fda_0488,10GS,-8.13
fda_0493,10GS,-8.29
fda_0493,1M17,-8.17
fda_0494,10GS,-7.83
fda_0495,1M17,-8.25
fda_0495,10GS,-8.05
fda_0496,1M17,-8.47
fda_0496,10GS,-8.4
fda_0497,10GS,-8.05
fda_0498,10GS,-8.97
fda_0499,10GS,-8.83
fda_0500,10GS,-9.09
fda_0501,10GS,-8.97
fda_0506,1M17,-7.86
fda_0506,10GS,-7.45
fda_0507,10GS,-7.4
fda_0508,1M17,-8.01
fda_0508,10GS,-7.35
fda_0509,1M17,-8.36
fda_0509,10GS,-7.59
fda_0510,1M17,-8.14
fda_0510,10GS,-7.31
fda_0511,10GS,-7.93
fda_0512,1M17,-8.55
fda_0512,10GS,-8.15
fda_0513,1M17,-8.34
fda_0513,10GS,-8.03
fda_0514,10GS,-9.86
fda_0514,1M17,-8.63
fda_0515,10GS,-9.83
fda_0515,1M17,-8.68
fda_0516,10GS,-9.47
fda_0516,1M17,-8.52
fda_0517,10GS,-8.79
fda_0517,1M17,-8.79
fda_0518,10GS,-8.15
fda_0519,10GS,-8.35
fda_0520,10GS,-8.04
fda_0521,10GS,-7.64
fda_0522,1M17,-7.64
fda_0522,10GS,-7.58
fda_0523,1M17,-8.19
fda_0523,10GS,-7.59
fda_0524,1M17,-7.83
fda_0524,10GS,-7.43
fda_0525,1M17,-8.27
fda_0525,10GS,-7.81
fda_0526,10GS,-7.71
fda_0526,1M17,-7.41
fda_0527,1M17,-8.32
fda_0527,10GS,-8.03
fda_0528,10GS,-8.38
fda_0529,1M17,-8.61
fda_0529,10GS,-7.96
fda_0530,10GS,-8.21
fda_0530,1M17,-8.19
fda_0531,10GS,-7.38
fda_0532,1M17,-7.49
fda_0532,10GS,-7.2
fda_0533,1M17,-8.18
fda_0533,10GS,-7.32
fda_0534,10GS,-7.79
fda_0534,1M17,-7.45
fda_0535,10GS,-7.81
fda_0536,10GS,-7.54
fda_0537,10GS,-7.64
fda_0538,10GS,-8.85
fda_0538,1M17,-7.92
fda_0539,10GS,-9.13
fda_0540,10GS,-8.68
fda_0540,1M17,-7.88
fda_0541,10GS,-9.12
fda_0542,10GS,-7.21
fda_0542,1M17,-6.69
fda_0546,10GS,-4.71
fda_0548,10GS,-7.28
fda_0548,1M17,-6.9
fda_0549,10GS,-6.92
fda_0551,10GS,-4.46
fda_0552,10GS,-4.5
fda_0557,1M17,-6.77
fda_0557,10GS,-6.75
fda_0558,1M17,-8.11
fda_0558,10GS,-7.93
fda_0559,10GS,-7.77
fda_0559,1M17,-7.39
fda_0560,1M17,-8.08
fda_0560,10GS,-7.97
fda_0561,1M17,-7.85
fda_0561,10GS,-7.76
fda_0562,10GS,-7.08
fda_0563,10GS,-6.57
fda_0564,10GS,-7.11
fda_0571,1M17,-7.41
fda_0571,10GS,-6.77
fda_0572,10GS,-8.25
fda_0572,1M17,-8.25
fda_0573,10GS,-6.53
fda_0574,10GS,-7.61
fda_0575,1M17,-8.41
fda_0575,10GS,-7.97
fda_0576,10GS,-7.66
fda_0576,1M17,-7.22
fda_0577,10GS,-7.34
fda_0580,10GS,-8.92
fda_0581,10GS,-8.87
fda_0582,10GS,-7.77
fda_0582,1M17,-7.48
fda_0583,1M17,-7.99
fda_0583,10GS,-7.57
fda_0584,1M17,-8.32
fda_0584,10GS,-8.26
fda_0585,10GS,-8.42
fda_0586,1M17,-8.4
fda_0586,10GS,-8.06
fda_0587,10GS,-8.51
fda_0587,1M17,-8.3
fda_0588,1M17,-7.58
fda_0588,10GS,-7.35
fda_0589,10GS,-7.74
fda_0590,10GS,-8.21
fda_0590,1M17,-7.93
fda_0591,10GS,-8.34
fda_0591,1M17,-8.25
fda_0592,1M17,-8.06
fda_0592,10GS,-7.73
fda_0593,1M17,-8.46
fda_0593,10GS,-7.88
fda_0596,1M17,-8.51
fda_0596,10GS,-8.23
fda_0597,10GS,-8.23
fda_0601,10GS,-7.45
fda_0602,10GS,-7.51
fda_0602,1M17,-7.38
fda_0606,10GS,-7.62
fda_0607,10GS,-7.72
fda_0608,10GS,-8.51
fda_0608,1M17,-7.92
fda_0609,10GS,-7.75
fda_0610,10GS,-8.81
fda_0610,1M17,-8.78
fda_0611,1M17,-9.41
fda_0611,10GS,-8.88
fda_0612,10GS,-9.1
fda_0613,1M17,-9.64
fda_0613,10GS,-8.98
fda_0614,1M17,-8.28
fda_0614,10GS,-7.92
fda_0615,10GS,-8.9
fda_0615,1M17,-8.84
fda_0616,10GS,-9.21
fda_0616,1M17,-8.45
fda_0617,10GS,-8.92
fda_0617,1M17,-8.56
fda_0618,1M17,-8.47
fda_0618,10GS,-7.99
fda_0619,10GS,-7.51
fda_0620,10GS,-8.29
fda_0620,1M17,-8.23
fda_0621,1M17,-8.24
fda_0621,10GS,-8.14
fda_0622,10GS,-8.32
fda_0622,1M17,-7.87
fda_0623,10GS,-8.6
fda_0623,1M17,-8.02
fda_0624,10GS,-6.78
fda_0625,10GS,-7.64
fda_0625,1M17,-6.97
fda_0626,10GS,-8.03
fda_0626,1M17,-7.45
fda_0627,10GS,-8.34
fda_0627,1M17,-8.24
fda_0628,10GS,-6.73
fda_0628,1M17,-6.57
fda_0629,10GS,-7.54
fda_0629,1M17,-7.09
fda_0630,10GS,-6.57
fda_0631,10GS,-7.45
fda_0632,10GS,-8.0
fda_0633,10GS,-9.28
fda_0634,10GS,-8.21
fda_0635,10GS,-8.03
fda_0636,10GS,-8.59
fda_0637,10GS,-8.03
fda_0637,1M17,-7.86
fda_0638,1M17,-8.18
fda_0638,10GS,-7.85
fda_0639,10GS,-6.37
fda_0640,1M17,-6.55
fda_0640,10GS,-5.83
fda_0641,1M17,-6.34
fda_0641,10GS,-5.73
fda_0642,1M17,-7.62
fda_0642,10GS,-7.49
fda_0643,1M17,-8.3
fda_0643,10GS,-7.48
fda_0644,10GS,-7.69
fda_0644,1M17,-7.29
fda_0645,10GS,-7.7
fda_0645,1M17,-7.56
fda_0646,10GS,-8.59
fda_0647,1M17,-8.89
fda_0647,10GS,-7.6
fda_0648,10GS,-7.05
fda_0648,1M17,-6.98
fda_0649,1M17,-8.51
fda_0649,10GS,-7.38
fda_0650,1M17,-8.33
fda_0650,10GS,-7.78
fda_0651,10GS,-7.39
fda_0652,1M17,-8.5
fda_0652,10GS,-8.48
fda_0653,1M17,-7.88
fda_0653,10GS,-7.42
fda_0654,1M17,-5.35
fda_0658,10GS,-7.09
fda_0658,1M17,-6.94
fda_0659,10GS,-8.18
fda_0660,10GS,-8.16
fda_0661,10GS,-8.16
fda_0662,10GS,-8.18
fda_0663,1M17,-7.28
fda_0663,10GS,-7.27
fda_0664,1M17,-8.35
fda_0664,10GS,-8.06
fda_0665,1M17,-9.08
fda_0665,10GS,-8.01
fda_0666,1M17,-7.78
fda_0666,10GS,-7.48
fda_0667,1M17,-8.52
fda_0667,10GS,-8.04
fda_0669,10GS,-5.76
fda_0671,1M17,-6.86
fda_0671,10GS,-6.68
fda_0672,1M17,-8.25
fda_0672,10GS,-8.1
fda_0673,1M17,-8.36
fda_0673,10GS,-8.24
fda_0674,1M17,-7.94
fda_0674,10GS,-7.43
fda_0675,1M17,-8.13
fda_0675,10GS,-8.08
fda_0676,10GS,-7.85
fda_0676,1M17,-7.07
fda_0686,10GS,-7.12
fda_0689,10GS,-8.16
fda_0690,10GS,-8.18
fda_0690,1M17,-8.02
fda_0691,10GS,-7.77
fda_0692,10GS,-7.43
fda_0693,10GS,-8.09
fda_0694,10GS,-8.91
fda_0695,10GS,-7.33
fda_0696,10GS,-7.49
fda_0697,10GS,-6.84
fda_0698,10GS,-7.3
fda_0698,1M17,-7.08
fda_0699,1M17,-7.58
fda_0699,10GS,-7.34
fda_0704,10GS,-4.64
fda_0705,10GS,-4.69
fda_0707,10GS,-4.53
fda_0709,10GS,-4.68
fda_0711,10GS,-6.51
fda_0712,10GS,-6.63
fda_0713,10GS,-9.1
fda_0713,1M17,-8.47
fda_0714,10GS,-7.68
fda_0715,10GS,-7.83
fda_0715,1M17,-7.72
fda_0716,10GS,-8.1
fda_0718,10GS,-4.89
fda_0719,10GS,-5.35
fda_0721,10GS,-4.43
fda_0721,1M17,-4.27
fda_0722,10GS,-4.27
fda_0722,1M17,-4.08
fda_0723,10GS,-4.53
fda_0723,1M17,-4.4
fda_0724,10GS,-7.03
fda_0724,1M17,-6.96
fda_0725,10GS,-7.1
fda_0725,1M17,-6.97
fda_0726,10GS,-6.95
fda_0726,1M17,-6.83
fda_0727,10GS,-6.89
fda_0727,1M17,-6.83
fda_0728,1M17,-6.75
fda_0728,10GS,-6.68
fda_0729,1M17,-6.92
fda_0729,10GS,-6.42
fda_0730,1M17,-7.08
fda_0730,10GS,-6.83
fda_0731,10GS,-6.67
fda_0731,1M17,-6.62
fda_0732,10GS,-7.93
fda_0732,1M17,-7.28
fda_0733,10GS,-8.11
fda_0737,10GS,-5.83
fda_0739,10GS,-7.13
fda_0740,10GS,-7.74
fda_0742,10GS,-6.97
fda_0743,10GS,-7.29
fda_0744,10GS,-9.14
fda_0745,10GS,-8.93
fda_0747,10GS,-9.13
fda_0750,10GS,-7.79
fda_0754,10GS,-4.24
fda_0755,1M17,-4.61
fda_0755,10GS,-4.04
fda_0756,10GS,-4.16
fda_0757,1M17,-4.53
fda_0758,1M17,-4.4
fda_0758,10GS,-4.24
fda_0759,10GS,-4.24
fda_0760,10GS,-4.26
fda_0760,1M17,-4.24
fda_0761,1M17,-4.56
fda_0761,10GS,-4.47
fda_0764,10GS,-5.93
fda_0767,10GS,-5.95
fda_0770,10GS,-6.18
fda_0770,1M17,-5.64
fda_0771,10GS,-6.38
fda_0771,1M17,-5.32
fda_0772,10GS,-5.89
fda_0772,1M17,-5.55
fda_0773,10GS,-6.26
fda_0773,1M17,-5.49
fda_0774,10GS,-6.33
fda_0774,1M17,-5.41
fda_0775,10GS,-6.18
fda_0775,1M17,-5.4
fda_0776,10GS,-6.06
fda_0777,10GS,-6.04
fda_0778,10GS,-6.12
fda_0779,10GS,-6.0
fda_0782,1M17,-7.13
fda_0782,10GS,-6.75
fda_0783,1M17,-7.18
fda_0784,10GS,-6.78
fda_0785,10GS,-6.99
fda_0785,1M17,-6.72
fda_0791,10GS,-5.24
fda_0793,10GS,-5.75
fda_0797,10GS,-7.22
fda_0798,10GS,-7.37
fda_0798,1M17,-6.49
fda_0801,10GS,-6.24
fda_0802,10GS,-5.97
fda_0803,10GS,-6.18
fda_0804,10GS,-5.89
fda_0806,1M17,-7.29
fda_0806,10GS,-7.02
fda_0807,10GS,-8.39
fda_0808,10GS,-7.27
fda_0810,1M17,-7.3
fda_0810,10GS,-7.23
fda_0811,10GS,-7.42
fda_0812,1M17,-7.69
fda_0812,10GS,-7.12
fda_0813,1M17,-7.87
fda_0813,10GS,-7.68
fda_0814,10GS,-7.6
fda_0815,10GS,-7.58
fda_0816,10GS,-7.35
fda_0816,1M17,-7.05
fda_0817,10GS,-8.12
fda_0817,1M17,-7.49
fda_0823,1M17,-6.12
fda_0823,10GS,-5.5
fda_0824,1M17,-8.3
fda_0824,10GS,-7.85
fda_0827,1M17,-6.18
fda_0827,10GS,-5.95
fda_0828,10GS,-5.02
fda_0828,1M17,-4.95
fda_0829,1M17,-5.2
fda_0830,10GS,-7.57
fda_0830,1M17,-7.24
fda_0831,1M17,-5.57
fda_0831,10GS,-5.54
fda_0832,10GS,-6.97
fda_0833,10GS,-6.95
fda_0834,10GS,-6.98
fda_0834,1M17,-6.84
fda_0835,10GS,-7.26
fda_0836,1M17,-8.03
fda_0836,10GS,-7.15
fda_0837,1M17,-7.95
fda_0837,10GS,-7.07
fda_0838,1M17,-7.26
fda_0838,10GS,-7.11
fda_0839,1M17,-8.69
fda_0839,10GS,-8.14
fda_0840,10GS,-9.32
fda_0840,1M17,-8.35
fda_0841,1M17,-9.06
fda_0841,10GS,-8.52
fda_0842,10GS,-5.08
fda_0843,1M17,-4.19
fda_0843,10GS,-3.48
fda_0844,1M17,-4.14
fda_0844,10GS,-3.87
fda_0845,10GS,-8.33
fda_0846,10GS,-8.47
fda_0847,1M17,-8.59
fda_0847,10GS,-7.37
fda_0848,10GS,-7.6
fda_0849,10GS,-8.11
fda_0849,1M17,-7.96
fda_0850,10GS,-7.42
fda_0851,10GS,-7.0
fda_0852,10GS,-7.52
fda_0854,10GS,-7.5
fda_0855,10GS,-8.7
fda_0856,10GS,-8.55
fda_0856,1M17,-8.38
fda_0860,1M17,-6.46
fda_0860,10GS,-5.98
fda_0861,10GS,-7.25
fda_0862,1M17,-7.58
fda_0862,10GS,-7.42
fda_0863,10GS,-7.76
fda_0864,10GS,-7.97
fda_0865,10GS,-7.81
fda_0866,10GS,-7.62
fda_0867,10GS,-7.37
fda_0868,10GS,-7.63
fda_0868,1M17,-7.08
fda_0869,10GS,-7.81
fda_0869,1M17,-7.61
fda_0870,10GS,-8.02
fda_0871,10GS,-8.54
fda_0872,10GS,-8.59
fda_0872,1M17,-7.43
fda_0877,1M17,-5.47
fda_0877,10GS,-4.74
fda_0878,1M17,-5.35
fda_0878,10GS,-5.08
fda_0879,10GS,-8.13
fda_0880,10GS,-7.62
fda_0881,1M17,-8.18
fda_0881,10GS,-8.01
fda_0882,10GS,-6.1
fda_0884,10GS,-6.33
fda_0885,10GS,-6.38
fda_0887,10GS,-7.64
fda_0887,1M17,-6.7
fda_0888,10GS,-7.39
fda_0888,1M17,-7.35
fda_0889,1M17,-7.75
fda_0889,10GS,-7.27
fda_0891,10GS,-7.93
fda_0891,1M17,-7.3
fda_0892,10GS,-8.08
fda_0892,1M17,-7.52
fda_0893,10GS,-7.63
fda_0898,10GS,-6.17
fda_0900,10GS,-6.47
fda_0901,1M17,-6.6
fda_0901,10GS,-6.08
fda_0906,10GS,-7.66
fda_0907,10GS,-8.06
fda_0908,10GS,-7.52
fda_0909,10GS,-8.27
fda_0912,10GS,-6.99
fda_0917,10GS,-8.82
fda_0917,1M17,-7.48
fda_0918,10GS,-6.87
fda_0918,1M17,-6.68
fda_0919,1M17,-7.37
fda_0919,10GS,-7.36
fda_0920,10GS,-6.65
fda_0926,10GS,-7.18
fda_0926,1M17,-6.49
fda_0927,10GS,-7.04
fda_0928,1M17,-7.37
fda_0928,10GS,-6.87
fda_0929,10GS,-7.58
fda_0930,10GS,-7.84
fda_0931,10GS,-8.01
fda_0932,10GS,-7.79
fda_0933,10GS,-7.38
fda_0934,10GS,-8.04
fda_0935,10GS,-7.77
fda_0936,10GS,-7.56
fda_0937,1M17,-7.89
fda_0937,10GS,-7.32
fda_0938,1M17,-9.22
fda_0938,10GS,-8.63
fda_0939,1M17,-9.71
fda_0939,10GS,-8.9
fda_0940,1M17,-8.45
fda_0940,10GS,-8.43
fda_0941,10GS,-8.82
fda_0941,1M17,-8.64
fda_0942,1M17,-9.51
fda_0942,10GS,-8.88
fda_0943,10GS,-9.37
fda_0943,1M17,-9.08
fda_0944,1M17,-8.2
fda_0944,10GS,-8.19
fda_0945,1M17,-8.74
fda_0945,10GS,-8.6
fda_0948,10GS,-6.13
fda_0950,10GS,-6.71
fda_0951,10GS,-8.13
