stage,ligand,score,valid,reason,heavy_atoms,le,self_rmsd,pains_flag
stage1,rdk_0004339.pdbqt,-7.64,1,,30,0.2546,3.53,0
stage1,rdk_0002785.pdbqt,-8.76,1,,18,0.4867,,0
stage1,rdk_0000249.pdbqt,-7.25,1,,33,0.2198,,0
stage1,rdk_0002717.pdbqt,-7.00,1,,19,0.3686,,0
stage1,rdk_0002829.pdbqt,-6.65,1,,24,0.2770,2.04,0
stage1,rdk_0000371.pdbqt,-7.61,1,,33,0.2306,,0
stage1,rdk_0004314.pdbqt,-9.76,1,,41,0.2380,,0
stage1,rdk_0000226.pdbqt,-7.84,1,,34,0.2306,,0
stage1,rdk_0001542.pdbqt,-5.60,1,,19,0.2949,,0
stage1,rdk_0002511.pdbqt,-7.52,1,,14,0.5370,,0
stage1,rdk_0004567.pdbqt,-7.51,1,,21,0.3577,,0
stage1,rdk_0004685.pdbqt,-7.58,1,,35,0.2166,,0
stage1,rdk_0000502.pdbqt,-7.67,1,,25,0.3068,3.12,0
stage1,rdk_0002286.pdbqt,-8.16,1,,26,0.3138,,0
stage1,rdk_0003357.pdbqt,-6.66,1,,28,0.2377,,0
stage1,rdk_0001232.pdbqt,-5.23,1,,48,0.1090,,0
stage1,rdk_0004259.pdbqt,-6.67,1,,32,0.2083,,0
stage1,rdk_0002635.pdbqt,-4.96,1,,10,0.4956,,0
stage1,rdk_0004150.pdbqt,-7.70,1,,33,0.2332,3.87,0
stage1,rdk_0003391.pdbqt,-9.05,1,,22,0.4113,,0
stage1,rdk_0002336.pdbqt,-7.83,1,,24,0.3262,,0
stage1,rdk_0004262.pdbqt,-8.80,1,,19,0.4631,,0
stage1,rdk_0004099.pdbqt,-7.81,1,,30,0.2603,2.33,0
stage1,rdk_0004386.pdbqt,-10.03,1,,30,0.3342,,0
stage1,rdk_0002778.pdbqt,-8.29,1,,24,0.3455,,0
stage1,rdk_0002564.pdbqt,-7.20,1,,36,0.2001,,0
stage1,rdk_0003170.pdbqt,-10.91,1,,37,0.2950,2.96,0
stage1,rdk_0002880.pdbqt,-6.66,1,,24,0.2776,3.15,0
stage1,rdk_0001034.pdbqt,-9.63,1,,35,0.2752,2.51,0
stage1,rdk_0000308.pdbqt,-7.06,1,,37,0.1907,2.41,0
stage1,rdk_0000299.pdbqt,-7.21,1,,36,0.2004,2.30,0
stage1,rdk_0003124.pdbqt,-9.01,1,,30,0.3004,2.42,0
stage1,rdk_0002359.pdbqt,-8.51,1,,21,0.4052,,0
stage1,rdk_0003494.pdbqt,-9.26,1,,35,0.2646,,0
stage1,rdk_0003905.pdbqt,-7.09,1,,23,0.3085,2.06,0
stage1,rdk_0003827.pdbqt,-7.28,1,,12,0.6068,,0
stage1,rdk_0003221.pdbqt,-5.13,1,,10,0.5135,,0
stage1,rdk_0001266.pdbqt,-7.98,1,,48,0.1663,,0
stage1,rdk_0003197.pdbqt,-6.25,1,,20,0.3127,,0
stage1,rdk_0001163.pdbqt,-5.87,1,,16,0.3667,,0
stage1,rdk_0000518.pdbqt,-8.33,1,,26,0.3204,,0
stage1,rdk_0004929.pdbqt,-7.83,1,,22,0.3561,,0
stage1,rdk_0003722.pdbqt,-6.46,1,,17,0.3799,,0
stage1,rdk_0001041.pdbqt,-8.38,1,,32,0.2620,,0
stage1,rdk_0001838.pdbqt,-7.19,1,,32,0.2248,2.26,0
stage1,rdk_0002033.pdbqt,-9.82,1,,29,0.3387,2.15,0
stage1,rdk_0004072.pdbqt,-8.95,1,,34,0.2631,2.37,0
stage1,rdk_0001057.pdbqt,-7.01,1,,35,0.2003,2.55,0
stage1,rdk_0004853.pdbqt,-9.81,1,,40,0.2453,2.71,0
stage1,rdk_0001460.pdbqt,-8.19,1,,20,0.4096,,0
stage1,rdk_0003469.pdbqt,-9.84,1,,25,0.3935,,0
stage1,rdk_0003105.pdbqt,-7.06,1,,14,0.5041,,0
stage1,rdk_0002433.pdbqt,-8.07,1,,29,0.2783,,0
stage1,rdk_0003738.pdbqt,-9.26,1,,29,0.3193,,0
stage1,rdk_0002183.pdbqt,-8.49,1,,22,0.3859,,0
stage1,rdk_0003997.pdbqt,-6.22,1,,17,0.3659,,0
stage1,rdk_0003292.pdbqt,-6.64,1,,27,0.2458,2.68,0
stage1,rdk_0004464.pdbqt,-9.63,1,,31,0.3107,2.95,0
stage1,rdk_0004133.pdbqt,-7.34,1,,27,0.2719,2.39,0
stage1,rdk_0002930.pdbqt,-7.04,1,,18,0.3911,,0
stage1,rdk_0002583.pdbqt,-7.98,1,,22,0.3628,,0
stage1,rdk_0002480.pdbqt,-6.70,1,,11,0.6086,,0
stage1,rdk_0003848.pdbqt,-6.29,1,,14,0.4495,2.56,0
stage1,rdk_0001765.pdbqt,-8.45,1,,37,0.2284,,0
stage1,rdk_0003322.pdbqt,-8.27,1,,26,0.3182,,0
stage1,rdk_0000855.pdbqt,-8.68,1,,22,0.3947,,0
stage1,rdk_0004064.pdbqt,-9.01,1,,30,0.3003,3.47,0
stage1,rdk_0004529.pdbqt,-10.34,1,,25,0.4135,,0
stage1,rdk_0001628.pdbqt,-5.50,1,,16,0.3436,,0
stage1,rdk_0000089.pdbqt,-7.44,1,,24,0.3100,,0
stage1,rdk_0000750.pdbqt,-8.21,1,,23,0.3570,,0
stage1,rdk_0001060.pdbqt,-4.04,1,,6,0.6735,,0
stage1,rdk_0004662.pdbqt,-5.66,1,,10,0.5659,,0
stage1,rdk_0004045.pdbqt,-3.14,1,,5,0.6282,,0
stage1,rdk_0000653.pdbqt,-6.59,1,,24,0.2748,,0
stage1,rdk_0000489.pdbqt,-5.12,1,,12,0.4266,2.06,0
stage1,rdk_0004129.pdbqt,-6.46,1,,21,0.3077,2.37,0
stage1,rdk_0000874.pdbqt,-8.36,1,,22,0.3799,3.65,0
stage1,rdk_0000577.pdbqt,-8.35,1,,28,0.2980,,0
stage1,rdk_0003928.pdbqt,-4.31,1,,9,0.4790,,0
stage1,rdk_0002833.pdbqt,-8.27,1,,16,0.5168,,0
stage1,rdk_0003027.pdbqt,-6.41,1,,23,0.2787,2.31,0
stage1,rdk_0002736.pdbqt,-8.24,1,,15,0.5491,,0
stage1,rdk_0001457.pdbqt,-10.99,1,,41,0.2680,3.76,0
